Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2021-10-14 18:03:27.416 +0000,"Success",0:00:31,0,0,0,"20211014_180327.416/LogFile.txt","","",1
2021-10-14 18:04:58.052 +0000,"Success",0:00:31,0,0,0,"20211014_180458.052/LogFile.txt","","",1
2021-10-14 18:07:54.531 +0000,"Success",0:00:41,0,0,0,"20211014_180754.531/LogFile.txt","","",1
2021-10-14 18:09:52.610 +0000,"Aborted",0:00:09,1,0,1,"20211014_180952.610/LogFile.txt","","",0
2021-10-14 18:10:02.865 +0000,"Success",0:00:30,0,0,0,"20211014_181002.865/LogFile.txt","","",1
2021-10-14 18:12:54.945 +0000,"Success",0:00:38,0,0,0,"20211014_181254.945/LogFile.txt","","",1
2021-10-14 18:14:21.052 +0000,"Success",0:00:27,0,0,0,"20211014_181421.052/LogFile.txt","","",1
2021-10-14 18:15:53.659 +0000,"Success",0:00:30,0,0,0,"20211014_181553.659/LogFile.txt","","",1
2021-10-14 18:16:52.447 +0000,"Success",0:01:32,0,0,0,"20211014_181652.447/LogFile.txt","","",1
2021-10-14 18:20:22.501 +0000,"Success",0:01:05,0,0,0,"20211014_182022.501/LogFile.txt","","",1
2021-10-14 18:24:43.201 +0000,"Aborted",0:01:46,1,0,2,"20211014_182443.201/LogFile.txt","","",0
2021-10-14 18:26:55.865 +0000,"Aborted",0:01:23,1,0,1,"20211014_182655.865/LogFile.txt","","",0
2021-10-14 18:28:49.355 +0000,"Success",0:00:59,0,0,0,"20211014_182849.355/LogFile.txt","","",1
